location,forecast_date,quantile,prediction,horizon,model,target_end_date,target_type,expert
GB,2021-05-24,0.55,59,3,EpiNow2,2021-06-12,Deaths,
GB,2021-05-24,0.55,59,3,EpiNow2,2021-06-12,Deaths,
GB,2021-05-24,0.6,62,3,EpiNow2,2021-06-12,Deaths,
GB,2021-05-24,0.6,62,3,EpiNow2,2021-06-12,Deaths,
GB,2021-05-24,0.65,66,3,EpiNow2,2021-06-12,Deaths,
GB,2021-05-24,0.65,66,3,EpiNow2,2021-06-12,Deaths,
GB,2021-05-24,0.7,70,3,EpiNow2,2021-06-12,Deaths,
GB,2021-05-24,0.7,70,3,EpiNow2,2021-06-12,Deaths,
GB,2021-05-24,0.75,75,3,EpiNow2,2021-06-12,Deaths,
GB,2021-05-24,0.75,75,3,EpiNow2,2021-06-12,Deaths,
GB,2021-05-24,0.8,81.2000000000001,3,EpiNow2,2021-06-12,Deaths,
GB,2021-05-24,0.8,81.2000000000001,3,EpiNow2,2021-06-12,Deaths,
GB,2021-05-24,0.85,88,3,EpiNow2,2021-06-12,Deaths,
GB,2021-05-24,0.85,88,3,EpiNow2,2021-06-12,Deaths,
GB,2021-05-24,0.9,99,3,EpiNow2,2021-06-12,Deaths,
GB,2021-05-24,0.9,99,3,EpiNow2,2021-06-12,Deaths,
GB,2021-05-24,0.95,129,3,EpiNow2,2021-06-12,Deaths,
GB,2021-05-24,0.95,129,3,EpiNow2,2021-06-12,Deaths,
GB,2021-05-24,0.975,148,3,EpiNow2,2021-06-12,Deaths,
GB,2021-05-24,0.975,148,3,EpiNow2,2021-06-12,Deaths,
GB,2021-05-24,0.99,195.09,3,EpiNow2,2021-06-12,Deaths,
GB,2021-05-24,0.99,195.09,3,EpiNow2,2021-06-12,Deaths,
GB,2021-05-24,0.01,11,4,EpiNow2,2021-06-19,Deaths,
GB,2021-05-24,0.01,11,4,EpiNow2,2021-06-19,Deaths,
GB,2021-05-24,0.025,16,4,EpiNow2,2021-06-19,Deaths,
GB,2021-05-24,0.025,16,4,EpiNow2,2021-06-19,Deaths,
GB,2021-05-24,0.05,20,4,EpiNow2,2021-06-19,Deaths,
GB,2021-05-24,0.05,20,4,EpiNow2,2021-06-19,Deaths,
GB,2021-05-24,0.1,25,4,EpiNow2,2021-06-19,Deaths,
GB,2021-05-24,0.1,25,4,EpiNow2,2021-06-19,Deaths,
GB,2021-05-24,0.15,29.85,4,EpiNow2,2021-06-19,Deaths,
GB,2021-05-24,0.15,29.85,4,EpiNow2,2021-06-19,Deaths,
GB,2021-05-24,0.2,33,4,EpiNow2,2021-06-19,Deaths,
GB,2021-05-24,0.2,33,4,EpiNow2,2021-06-19,Deaths,
GB,2021-05-24,0.25,36,4,EpiNow2,2021-06-19,Deaths,
GB,2021-05-24,0.25,36,4,EpiNow2,2021-06-19,Deaths,
GB,2021-05-24,0.3,40,4,EpiNow2,2021-06-19,Deaths,
GB,2021-05-24,0.3,40,4,EpiNow2,2021-06-19,Deaths,
GB,2021-05-24,0.35,43,4,EpiNow2,2021-06-19,Deaths,
GB,2021-05-24,0.35,43,4,EpiNow2,2021-06-19,Deaths,
GB,2021-05-24,0.4,46,4,EpiNow2,2021-06-19,Deaths,
GB,2021-05-24,0.4,46,4,EpiNow2,2021-06-19,Deaths,
GB,2021-05-24,0.45,50,4,EpiNow2,2021-06-19,Deaths,
GB,2021-05-24,0.45,50,4,EpiNow2,2021-06-19,Deaths,
GB,2021-05-24,0.5,53,4,EpiNow2,2021-06-19,Deaths,
GB,2021-05-24,0.5,53,4,EpiNow2,2021-06-19,Deaths,
GB,2021-05-24,0.55,58,4,EpiNow2,2021-06-19,Deaths,
GB,2021-05-24,0.55,58,4,EpiNow2,2021-06-19,Deaths,
GB,2021-05-24,0.6,61,4,EpiNow2,2021-06-19,Deaths,
GB,2021-05-24,0.6,61,4,EpiNow2,2021-06-19,Deaths,
GB,2021-05-24,0.65,66,4,EpiNow2,2021-06-19,Deaths,
GB,2021-05-24,0.65,66,4,EpiNow2,2021-06-19,Deaths,
GB,2021-05-24,0.7,72.3000000000001,4,EpiNow2,2021-06-19,Deaths,
GB,2021-05-24,0.7,72.3000000000001,4,EpiNow2,2021-06-19,Deaths,
GB,2021-05-24,0.75,79,4,EpiNow2,2021-06-19,Deaths,
GB,2021-05-24,0.75,79,4,EpiNow2,2021-06-19,Deaths,
GB,2021-05-24,0.8,86,4,EpiNow2,2021-06-19,Deaths,
GB,2021-05-24,0.8,86,4,EpiNow2,2021-06-19,Deaths,
GB,2021-05-24,0.85,98,4,EpiNow2,2021-06-19,Deaths,
GB,2021-05-24,0.85,98,4,EpiNow2,2021-06-19,Deaths,
